_id,nume_produs,valabilitate_produs,pret_produs,link_produs,imagine_produs,_id_principal_category,_id_second_category
evo_i1,"Laptop Prestigio SmartBook 141 C4 (Procesor AMD A4-9120 (1M Cache, up to 2.50 GHz), 14.1&quot; FHD, 4GB, 64GB eMMC, AMD Radeon R3, Win10 Pro, Argintiu)",In stoc magazin,"[[""1.499,00 Lei"",""999,00 Lei"",{""$date"":""2020-06-08T16:45:59Z""}]]",www.evomag.ro/portabile-laptopuri-notebook/prestigio-laptop-prestigio-smartbook-141-c4-procesor-amd-a4-9120-1m-cache-up-to-2.50-ghz-14.1-fhd-4gb-64gb-emmc-amd-radeon-r3-win10-pro-argintiu-3786993.html,https://static3.evomag.ro/img?file=products%2F3786%2F3786993%2F1586861842Laptop+Prestigio+SmartBook+141+C4+%28Procesor+AMD+A4-9120+%281M+Cache%2C+up+to+2.50+GHz%29%2C+14.1+FHD%2C+4GB%2C+64GB+eMMC%2C+AMD+Radeon+R3%2C+Win10+Pro%2C+Argintiu%291.png&amp;height=150&amp;extend=white,evo_p0,evo_s0
evo_i2,"Laptop Prestigio SmartBook 141 C3 (Procesor Intel Atom® x5-Z8350 (2M Cache, up to 1.92 GHz), 14.1&quot; HD, 2GB, 64GB eMMC, Intel® HD Graphics 400, Win10 Home, Argintiu)",In stoc magazin,"[[""1.199,00 Lei"",""799,00 Lei"",{""$date"":""2020-06-08T16:45:59Z""}]]",www.evomag.ro/portabile-laptopuri-notebook/prestigio-laptop-prestigio-smartbook-141-c3-procesor-intel-atom-x5-z8350-2m-cache-up-to-1.92-ghz-14.1-hd-2gb-64gb-emmc-intel-hd-graphics-400-win10-home-argintiu-3786982.html,https://static3.evomag.ro/img?file=products%2F3786%2F3786982%2F1590048786Laptop+Prestigio+SmartBook+141+C3+%28Procesor+Intel+Atom%C2%AE+x5-Z8350+%282M+Cache%2C+up+to+1.92+GHz%29%2C+14.1+HD%2C+2GB%2C+64GB+eMMC%2C+Intel%C2%AE+HD+Graphics+400%2C+Win10+Home%2C+Argintiu%291.png&amp;height=150&amp;extend=white,evo_p0,evo_s0
evo_i3,"Laptop HP 250 G7 (Procesor Intel® Core™ i5-8265U (6M Cache, up to 3.90 GHz), Whiskey Lake, 15.6&quot; FHD, 8GB, 256GB SSD, nVidia GeForce MX110 @2GB, Negru)",In stoc magazin,"[[""3.599,00 Lei"",""2.549,00 Lei"",{""$date"":""2020-06-08T16:45:59Z""}]]",www.evomag.ro/portabile-laptopuri-notebook/hp-laptop-hp-250-g7-procesor-intel-core-i5-8265u-6m-cache-up-to-3.90-ghz-whiskey-lake-15.6-fhd-8gb-256gb-ssd-nvidia-geforce-mx110-2gb-negru-3763110.html,https://static3.evomag.ro/img?file=products%2F3763%2F3763110%2F1568290528Laptop+HP+250+G7+%28Procesor+Intel%C2%AE+Core%E2%84%A2+i5-8265U+%286M+Cache%2C+up+to+3.90+GHz%29%2C+Whiskey+Lake%2C+15.6+FHD%2C+8GB%2C+256GB+SSD%2C+nVidia+GeForce+MX110+%402GB%2C+Negru%291.jpg&amp;height=150&amp;extend=white,evo_p0,evo_s0
evo_i4,"Laptop Prestigio SmartBook 141S (Procesor Intel® Celeron® N3350 (2M Cache, up to 2.40 GHz), 14.1&quot; FHD, 4GB, 32GB eMMC, Intel® HD Graphics 500, Win10 Home, Gri)",In stoc magazin,"[[""1.699,00 Lei"",""1.099,00 Lei"",{""$date"":""2020-06-08T16:45:59Z""}]]",www.evomag.ro/portabile-laptopuri-notebook/prestigio-laptop-prestigio-smartbook-141s-procesor-intel-celeron-n3350-2m-cache-up-to-2.40-ghz-14.1-fhd-4gb-32gb-emmc-intel-hd-graphics-500-win10-home-gri-3786986.html,https://static3.evomag.ro/img?file=products%2F3786%2F3786986%2F1586859090Laptop+Prestigio+SmartBook+141S+%28Procesor+Intel%C2%AE+Celeron%C2%AE+N3350+%282M+Cache%2C+up+to+2.40+GHz%29%2C+14.1+FHD%2C+4GB%2C+32GB+eMMC%2C+Intel%C2%AE+HD+Graphics+500%2C+Win10+Home%2C+Gri%291.png&amp;height=150&amp;extend=white,evo_p0,evo_s0
evo_i5,"Laptop Asus X509JB-EJ010 (Procesor Intel® Core™ i5-1035G1 (6M Cache, up to 3.60 GHz), Ice Lake, 15.6&quot; FHD, 8GB, 1TB HDD @5400RPM, nVidia GeForce MX110 @2GB, Gri)",In stoc magazin,"[[""3.199,00 Lei"",""2.599,00 Lei"",{""$date"":""2020-06-08T16:45:59Z""}]]",www.evomag.ro/portabile-laptopuri-notebook/asus-laptop-asus-x509jb-ej010-procesor-intel-core-i5-1035g1-6m-cache-up-to-3.60-ghz-ice-lake-15.6-fhd-8gb-1tb-hdd-5400rpm-nvidia-geforce-mx110-2gb-gri-3788362.html,https://static3.evomag.ro/img?file=products%2F3788%2F3788362%2F1569940632Laptop+Asus+X509FL-EJ049+%28Procesor+Intel%C2%AE+Core%E2%84%A2+i5-8265U+%286M+Cache%2C+up+to+3.90+GHz%29%2C+Whiskey+Lake%2C+15.6+FHD%2C+8GB%2C+256GB+SSD%2C+Intel%C2%AE+UHD+Graphics+620%2C+Gri%29+1.jpg&amp;height=150&amp;extend=white,evo_p0,evo_s0
evo_i6,"Laptop Asus X509JA-EJ142 (Procesor Intel® Core™ i3-1005G1 (4M Cache, up to 3.40 GHz), Ice Lake, 15.6&quot; FHD, 8GB, 512GB, Intel® UHD Graphics, Gri)",In stoc magazin,"[[""2.599,00 Lei"",""2.099,00 Lei"",{""$date"":""2020-06-08T16:45:59Z""}]]",www.evomag.ro/portabile-laptopuri-notebook/asus-laptop-asus-x509ja-ej142-procesor-intel-core-i3-1005g1-4m-cache-up-to-3.40-ghz-ice-lake-15.6-fhd-8gb-512gb-intel-uhd-graphics-gri-3786113.html,https://static3.evomag.ro/img?file=products%2F3786%2F3786113%2F1569940632Laptop+Asus+X509FL-EJ049+%28Procesor+Intel%C2%AE+Core%E2%84%A2+i5-8265U+%286M+Cache%2C+up+to+3.90+GHz%29%2C+Whiskey+Lake%2C+15.6+FHD%2C+8GB%2C+256GB+SSD%2C+Intel%C2%AE+UHD+Graphics+620%2C+Gri%29+1.jpg&amp;height=150&amp;extend=white,evo_p0,evo_s0
evo_i7,"Laptop Apple MacBook Pro 16 Retina (Procesor Intel® Core™ i9-9880H (16M Cache, up to 4.80 GHz), Coffee Lake, 16&quot;, Retina, Touch Bar, 16GB, 1TB SSD, AMD Radeon Pro 5500M @4GB, Mac OS Catalina, Layout INT, Gri)",Stoc epuizat,"[[""17.999,00 Lei"",""14.299,00 Lei"",{""$date"":""2020-06-08T16:45:59Z""}]]",www.evomag.ro/portabile-laptopuri-notebook/apple-laptop-apple-macbook-pro-16-retina-procesor-intel-core-i9-9880h-16m-cache-up-to-4.80-ghz-coffee-lake-16-retina-touch-bar-16gb-1tb-ssd-amd-radeon-pro-5500m-4gb-mac-os-catalina-layout-int-gri-3775068.html,https://static3.evomag.ro/img?file=products%2F3775%2F3775068%2F1574088608Laptop+Apple+MacBook+Pro+16+Retina+%28Procesor+Intel%C2%AE+Core%E2%84%A2+i9-9880H+%2816M+Cache%2C+up+to+4.80+GHz%29%2C+Coffee+Lake%2C+16%2C+Retina%2C+Touch+Bar%2C+16GB%2C+1TB+SSD%2C+AMD+Radeon+Pro+5500M+%404GB1.jpg&amp;height=150&amp;extend=white,evo_p0,evo_s0
evo_i8,"Laptop Asus X509JA-EJ063 (Procesor Intel® Core™ i5-1035G1 (6M Cache, up to 3.60 GHz), Ice Lake, 15.6&quot; FHD, 8GB, 1TB HDD @5400RPM, Intel® UHD Graphics, Gri)",In stoc magazin,"[[""2.999,00 Lei"",""2.399,00 Lei"",{""$date"":""2020-06-08T16:45:59Z""}]]",www.evomag.ro/portabile-laptopuri-notebook/asus-laptop-asus-x509ja-ej063-procesor-intel-core-i5-1035g1-6m-cache-up-to-3.60-ghz-ice-lake-15.6-fhd-8gb-1tb-hdd-5400rpm-intel-uhd-graphics-gri-3788363.html,https://static3.evomag.ro/img?file=products%2F3788%2F3788363%2F1569940632Laptop+Asus+X509FL-EJ049+%28Procesor+Intel%C2%AE+Core%E2%84%A2+i5-8265U+%286M+Cache%2C+up+to+3.90+GHz%29%2C+Whiskey+Lake%2C+15.6+FHD%2C+8GB%2C+256GB+SSD%2C+Intel%C2%AE+UHD+Graphics+620%2C+Gri%29+1.jpg&amp;height=150&amp;extend=white,evo_p0,evo_s0
evo_i9,"Laptop Prestigio SmartBook 133S (Procesor Intel® Celeron® N3350 (2M Cache, up to 2.40 GHz), 13.3&quot; FHD, 3GB, 32GB eMMC, Intel® HD Graphics 500, Win10 Home, Gri)",In stoc magazin,"[[""1.299,00 Lei"",""999,00 Lei"",{""$date"":""2020-06-08T16:45:59Z""}]]",www.evomag.ro/portabile-laptopuri-notebook/prestigio-laptop-prestigio-smartbook-133s-procesor-intel-celeron-n3350-2m-cache-up-to-2.40-ghz-13.3-fhd-3gb-32gb-emmc-intel-hd-graphics-500-win10-home-gri-3786978.html,https://static3.evomag.ro/img?file=products%2F3786%2F3786978%2F1586855767Laptop+Prestigio+SmartBook+133S+%28Procesor+Intel%C2%AE+Celeron%C2%AE+N3350+%282M+Cache%2C+up+to+2.40+GHz%29%2C+13.3+FHD%2C+3GB%2C+32GB+eMMC%2C+Intel%C2%AE+HD+Graphics+500%2C+Win10+Home%2C+Gri%291.png&amp;height=150&amp;extend=white,evo_p0,evo_s0
evo_i10,"Laptop HP 15s-eq0035nq (Procesor AMD Ryzen 3 3200U (4M Cache, up to 3.50 GHz), 15.6&quot; FHD, 8GB, 256GB SSD, AMD Radeon Vega 3, Argintiu)",In stoc magazin,"[[""2.499,00 Lei"",""1.899,00 Lei"",{""$date"":""2020-06-08T16:45:59Z""}]]",www.evomag.ro/portabile-laptopuri-notebook/hp-laptop-hp-15s-eq0035nq-procesor-amd-ryzen-3-3200u-4m-cache-up-to-3.50-ghz-15.6-fhd-8gb-256gb-ssd-amd-radeon-vega-3-argintiu-3788988.html,https://static3.evomag.ro/img?file=products%2F3788%2F3788988%2F1589195905Laptop+HP+15s-eq0035nq+%28Procesor+AMD+Ryzen+3+3200U+%284M+Cache%2C+up+to+3.50+GHz%29%2C+15.6+FHD%2C+8GB%2C+256GB+SSD%2C+AMD+Radeon+Vega+3%2C+Argintiu%291.jpg&amp;height=150&amp;extend=white,evo_p0,evo_s0
